epoch,lr,epoch_time_sec,train_loss,train_acc1,train_batch_time,val_loss,val_acc1,val_acc5,val_batch_time
1.0,0.0009046039886902864,168.8956983089447,1.3820745247077941,49.672,0.10139455325467725,1.0504413303375244,61.19,96.9,0.03315640409914449
2.0,0.0006548539886902863,173.73735070228577,0.8239928992462158,71.07,0.10438142628221274,0.7113235199451446,74.67,98.54,0.03369907373056625
3.0,0.0003461460113097138,176.88266468048096,0.5990830852699279,79.204,0.10624900614689042,0.5632942081451416,80.72,99.05,0.03441374294293193
4.0,9.639601130971379e-05,179.79130339622498,0.4441068738460541,84.48,0.10802336510983478,0.484370037984848,83.29,99.28,0.0348364446109857
5.0,1e-06,179.26140522956848,0.3291383291530609,88.754,0.10780288863471892,0.3906612484097481,86.76,99.52,0.034263288631987646
